device_brand,os,screen_size,front_camera_mp,release_year
Vivo,Android,17.5,16.0,2020
Vivo,Android,16.36,32.0,2020
Vivo,Android,16.36,32.0,2019
Vivo,Android,16.21,16.0,2019
Vivo,Android,16.59,16.0,2019
Vivo,Android,16.21,32.0,2019
Vivo,Android,16.13,8.0,2019
Vivo,Android,16.21,16.0,2019
Vivo,Android,16.13,8.0,2019
Vivo,Android,16.13,16.0,2019
Vivo,Android,17.5,16.0,2019
Vivo,Android,17.5,16.0,2019
Vivo,Android,16.28,12.0,2019
Vivo,Android,16.28,12.0,2019
Vivo,Android,15.8,5.0,2019
Vivo,Android,16.21,32.0,2019
Vivo,Android,16.21,12.0,2019
Vivo,Android,16.59,16.0,2019
Vivo,Android,16.23,16.0,2019
Vivo,Android,15.9,16.0,2019
Vivo,Android,16.13,20.0,2019
Vivo,Android,16.59,16.0,2019
Vivo,Android,15.8,5.0,2019
Vivo,Android,10.29,2.0,2013
Others,Android,12.93,8.0,2019
Others,Android,14.4,8.0,2019
Others,Android,15.21,5.0,2019
Others,Android,15.32,16.0,2019
Others,Android,15.9,8.0,2019
Xiaomi,Android,16.69,20.0,2020
Xiaomi,Android,16.69,16.0,2020
Xiaomi,Android,16.94,16.0,2020
Xiaomi,Android,16.94,16.0,2020
Xiaomi,Android,16.94,32.0,2020
Xiaomi,Android,15.8,8.0,2020
Xiaomi,Android,15.8,8.0,2020
Xiaomi,Android,16.94,16.0,2020
Xiaomi,Android,20.12,20.0,2019
Xiaomi,Android,16.23,20.0,2019
Xiaomi,Android,16.23,16.0,2019
Xiaomi,Android,15.27,32.0,2019
Xiaomi,Android,16.23,32.0,2019
Xiaomi,Android,15.32,13.0,2019
ZTE,Android,16.89,12.0,2020
ZTE,Android,16.89,12.0,2020
ZTE,Android,15.24,8.0,2019
ZTE,Android,15.47,5.0,2019
ZTE,Android,15.32,16.0,2019
ZTE,Android,16.48,8.0,2019
ZTE,Android,16.89,16.0,2019
ZTE,Android,16.31,8.0,2019
ZTE,Android,13.84,8.0,2019
ZTE,Android,12.7,5.0,2019
ZTE,Android,12.7,5.0,2019
ZTE,Android,16.89,16.0,2019
ZTE,Android,16.43,20.0,2019
ZTE,Android,13.84,8.0,2018
ZTE,Android,15.27,5.0,2019
Honor,Android,14.5,5.0,2020
Honor,Android,17.3,16.0,2020
Honor,Android,16.69,8.0,2020
Honor,Android,25.5,8.0,2020
Honor,Android,15.32,8.0,2020
Honor,Android,16.23,8.0,2020
Honor,Android,13.84,5.0,2020
Honor,Android,15.77,8.0,2020
Honor,Android,15.32,16.0,2020
Honor,Android,16.23,8.0,2020
Honor,Android,15.47,8.0,2020
Honor,Android,15.32,8.0,2020
Honor,Android,16.69,16.0,2019
Honor,Android,15.32,16.0,2019
Honor,Android,14.5,5.0,2019
Honor,Android,16.23,8.0,2019
Honor,Android,15.9,32.0,2019
Honor,Android,16.74,16.0,2019
Honor,Android,14.5,5.0,2019
Honor,Android,25.43,2.0,2019
Honor,Android,20.32,8.0,2019
Others,Android,20.32,0.3,2013
HTC,Android,15.29,16.0,2019
HTC,Android,12.88,13.0,2019
HTC,Android,15.29,8.0,2019
HTC,Android,15.24,14.5,2019
HTC,Android,15.29,16.0,2019
Huawei,Android,15.37,16.0,2020
Huawei,Android,15.37,16.0,2020
Huawei,Android,15.32,16.0,2020
Huawei,Android,15.32,16.0,2020
Huawei,Android,20.32,2.0,2020
Huawei,Android,15.37,16.0,2020
Huawei,Android,25.5,8.0,2020
Huawei,Android,16.71,16.0,2020
Huawei,Android,16.23,8.0,2020
Huawei,Android,25.6,8.0,2020
Huawei,Android,16.23,8.0,2020
Huawei,Android,16.74,16.0,2019
Huawei,Android,15.34,16.0,2019
Huawei,Android,25.6,8.0,2019
Huawei,Android,15.9,32.0,2019
Huawei,Android,15.32,16.0,2019
Huawei,Android,16.23,8.0,2019
Huawei,Android,16.59,16.0,2019
Huawei,Android,16.81,16.0,2019
Huawei,Android,16.81,16.0,2019
Huawei,Android,15.9,32.0,2019
Huawei,Android,16.74,16.0,2019
Huawei,Android,25.6,8.0,2019
Huawei,Android,20.42,8.0,2019
Huawei,Android,20.42,8.0,2019
Huawei,Android,16.23,32.0,2019
Huawei,Android,16.23,32.0,2019
Huawei,Android,15.34,24.0,2019
Huawei,Android,15.34,16.0,2019
Huawei,Android,16.74,16.0,2019
Huawei,Android,10.16,2.0,2014
Huawei,Android,17.78,0.3,2013
Infinix,Android,17.32,8.0,2020
Infinix,Android,15.39,8.0,2020
Infinix,Android,15.39,8.0,2020
Infinix,Android,15.39,16.0,2019
Infinix,Android,15.29,16.0,2019
Lava,Android,14.5,5.0,2020
Lava,Android,12.7,0.3,2016
Lenovo,Android,25.43,5.0,2020
Lenovo,Android,25.43,5.0,2019
Lenovo,Android,15.47,5.0,2019
Lenovo,Android,20.32,5.0,2019
Lenovo,Android,20.32,2.0,2019
Lenovo,Android,17.78,2.0,2019
Lenovo,Android,16.23,16.0,2019
Lenovo,Android,16.23,32.0,2019
Lenovo,Android,15.32,16.0,2019
Lenovo,Android,25.43,8.0,2016
LG,Android,16.59,16.0,2020
LG,Android,15.44,13.0,2020
LG,Others,5.28,13.0,2020
LG,Android,15.44,10.0,2020
LG,Android,15.44,10.0,2020
LG,Android,15.37,13.0,2020
LG,Android,14.5,8.0,2020
LG,Android,25.43,5.0,2019
LG,Android,15.34,32.0,2019
LG,Android,15.34,16.0,2019
LG,Android,13.84,5.0,2019
LG,Android,13.84,5.0,2019
LG,Android,15.27,13.0,2019
LG,Android,15.37,13.0,2019
LG,Android,15.8,16.0,2019
LG,Android,15.9,16.0,2019
LG,Android,15.72,8.0,2019
LG,Android,15.29,5.0,2019
LG,Android,15.29,5.0,2018
LG,Android,12.83,5.0,2018
LG,Android,7.62,1.3,2014
Meizu,Android,15.39,20.0,2020
Meizu,Android,15.37,16.0,2019
Meizu,Android,15.37,8.0,2019
Meizu,Android,15.29,20.0,2019
Meizu,Android,15.29,16.0,2019
Meizu,Android,15.29,20.0,2019
Micromax,Android,10.16,0.3,2014
Micromax,Android,7.75,0.3,2014
Micromax,Android,10.03,0.3,2013
Micromax,Android,10.16,0.3,2013
Micromax,Android,7.75,0.3,2013
Motorola,Android,15.37,16.0,2020
Motorola,Android,15.42,25.0,2020
Nokia,Android,16.56,8.0,2020
Nokia,Android,13.84,5.0,2020
Nokia,Android,13.84,5.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Android,17.3,24.0,2020
Nokia,Others,5.18,0.0,2020
Nokia,Others,5.18,0.0,2019
OnePlus,Android,16.64,16.0,2020
OnePlus,Android,16.64,16.0,2020
OnePlus,Android,16.94,16.0,2019
OnePlus,Android,16.94,16.0,2019
Oppo,Android,16.64,32.0,2020
Oppo,Android,16.33,32.0,2020
Oppo,Android,16.69,32.0,2020
Oppo,Android,16.64,16.0,2020
Oppo,Android,15.29,8.0,2020
Oppo,Android,15.34,32.0,2020
Oppo,Android,15.34,32.0,2019
Oppo,Android,15.37,8.0,2019
Oppo,Android,15.34,25.0,2019
Oppo,Android,15.34,32.0,2019
Oppo,Android,16.59,16.0,2019
Oppo,Android,15.39,16.0,2019
Oppo,Android,15.27,5.0,2019
Oppo,Android,15.29,8.0,2018
Oppo,Android,10.29,5.0,2015
Others,Android,16.43,20.0,2019
Realme,Android,15.37,16.0,2020
Realme,Android,15.37,16.0,2020
Realme,Android,15.37,5.0,2020
Realme,Android,15.27,5.0,2020
Realme,Android,15.27,5.0,2019
Samsung,Android,12.88,5.0,2020
Samsung,Android,12.7,5.0,2020
Samsung,Android,15.42,32.0,2020
Samsung,Android,15.37,32.0,2020
Samsung,Android,25.5,5.0,2020
Samsung,Android,15.29,13.0,2020
Samsung,Android,25.53,8.0,2020
Samsung,Android,12.73,8.0,2019
Samsung,Android,15.42,32.0,2019
Samsung,Android,25.43,8.0,2019
Samsung,Android,15.32,10.0,2019
Samsung,Android,25.53,8.0,2019
Samsung,Android,20.32,2.0,2019
Samsung,Android,12.7,5.0,2019
Samsung,Android,20.32,2.0,2015
Others,Android,16.59,16.0,2020
Others,Android,15.77,5.0,2020
Others,Android,20.32,2.0,2020
Others,Android,15.44,8.0,2020
Others,Android,17.78,0.3,2019
Others,Android,25.43,2.0,2019
Others,Android,12.88,5.0,2019
Others,Android,16.23,16.0,2019
Others,Android,20.32,2.0,2020
Others,Android,20.32,2.0,2020
Others,Android,20.55,0.3,2013
Apple,Others,30.71,7.0,2020
Apple,Others,27.94,7.0,2020
Apple,Others,25.45,1.2,2019
Apple,iOS,27.94,7.0,2018
Apple,iOS,18.01,1.2,2015
Asus,Android,15.24,2.0,2014
Asus,Android,15.24,2.0,2014
Others,Android,15.24,8.0,2019
Others,Android,12.83,8.0,2019
Others,Android,12.7,5.0,2019
Others,Android,10.29,0.3,2013
Others,Android,12.83,5.0,2020
Others,Android,14.35,8.0,2019
Coolpad,Android,16.59,16.0,2020
Coolpad,Android,16.15,13.0,2019
Acer,Android,25.43,2.0,2014
Acer,Android,25.43,2.0,2014
Alcatel,Others,5.18,5.0,2019
Alcatel,Android,17.78,2.0,2016
Alcatel,Android,20.32,0.3,2014
Alcatel,Android,17.78,0.3,2014
Alcatel,Android,17.78,0.3,2014
Alcatel,Android,17.78,0.3,2014
Alcatel,Android,17.78,0.3,2013
Alcatel,Android,17.78,0.3,2013
Alcatel,Android,20.32,0.3,2013
Alcatel,Android,17.78,0.3,2013
Alcatel,Android,17.78,0.3,2013
Alcatel,Android,16.56,8.0,2019
Alcatel,Android,12.83,5.0,2019
Alcatel,Android,20.32,2.0,2018
Acer,Others,23.04,2.0,2018
Acer,Android,17.78,2.0,2016
Acer,Android,12.83,5.0,2016
Acer,Android,12.7,2.0,2016
Acer,Android,25.43,2.0,2016
Acer,Android,12.83,13.0,2015
Acer,Android,12.83,5.0,2016
Acer,Android,12.7,5.0,2016
Acer,Android,20.32,2.0,2015
Acer,Windows,12.83,8.0,2015
Acer,Android,10.29,5.0,2015
Acer,Android,10.29,2.0,2015
Acer,Android,12.83,8.0,2015
Acer,Android,12.7,8.0,2015
Acer,Android,25.43,2.0,2015
Acer,Android,20.32,0.3,2015
Acer,Android,12.7,5.0,2015
Acer,Android,12.7,2.0,2015
Acer,Android,10.16,2.0,2015
Acer,Windows,10.16,2.0,2015
Acer,Android,10.29,2.0,2015
Acer,Android,12.7,5.0,2014
Acer,Android,12.7,2.0,2014
Acer,Android,12.88,2.0,2014
Acer,Android,12.7,2.0,2014
Acer,Android,12.7,2.0,2014
Acer,Android,12.7,2.0,2014
Acer,Android,10.16,2.0,2014
Acer,Android,20.32,2.0,2014
Acer,Android,17.78,0.3,2014
Acer,Android,17.78,0.3,2014
Acer,Android,17.78,0.3,2014
Acer,Android,10.34,2.0,2014
Acer,Android,10.16,1.3,2014
Acer,Android,17.78,2.0,2014
Acer,Android,17.78,2.0,2014
Acer,Android,18.01,2.0,2014
Acer,Android,12.7,0.3,2014
Acer,Android,15.24,2.0,2013
Acer,Android,7.75,0.3,2013
Acer,Android,12.88,2.0,2013
Acer,Android,25.43,0.3,2013
Acer,Android,18.01,0.3,2013
Acer,Android,10.29,2.0,2013
Acer,Android,7.75,0.3,2013
Acer,Android,10.24,0.3,2013
Acer,Android,10.29,0.3,2013
Acer,Android,17.78,0.3,2013
Acer,Android,17.78,0.3,2013
Alcatel,Android,12.83,5.0,2019
Alcatel,Android,12.7,2.0,2019
Alcatel,Android,15.29,8.0,2018
Alcatel,Android,12.88,5.0,2018
Alcatel,Android,15.24,5.0,2018
Alcatel,Android,12.83,5.0,2018
Alcatel,Android,12.78,5.0,2018
Alcatel,Android,15.24,5.0,2018
Alcatel,Android,25.43,2.0,2018
Alcatel,Android,17.78,0.3,2018
Alcatel,Android,12.75,8.0,2017
Alcatel,Android,12.75,5.0,2017
Alcatel,Android,15.24,5.0,2017
Alcatel,Android,12.83,8.0,2017
Alcatel,Android,12.7,2.0,2017
Alcatel,Android,12.75,5.0,2017
Alcatel,Android,12.7,5.0,2017
Alcatel,Android,15.24,5.0,2017
Alcatel,Android,12.7,5.0,2016
Alcatel,Android,12.83,5.0,2016
Alcatel,Android,12.7,5.0,2015
Alcatel,Android,12.7,5.0,2016
Alcatel,Android,12.83,5.0,2016
Alcatel,Android,12.83,5.0,2016
Alcatel,Android,12.83,5.0,2016
Alcatel,Android,12.7,5.0,2016
Alcatel,Android,12.83,8.0,2016
Alcatel,Android,12.75,8.0,2016
Alcatel,Android,17.78,0.3,2016
Alcatel,Android,15.24,8.0,2016
Alcatel,Android,15.24,5.0,2016
Alcatel,Android,10.16,0.3,2016
Alcatel,Android,12.83,2.0,2016
Alcatel,Android,12.83,2.0,2015
Alcatel,Android,12.7,5.0,2015
Alcatel,Android,12.83,8.0,2015
Alcatel,Android,10.29,0.3,2015
Alcatel,Android,12.83,8.0,2015
Alcatel,Android,10.34,5.0,2015
Alcatel,Android,12.83,2.0,2015
Alcatel,Android,20.32,0.3,2015
Alcatel,Android,17.78,0.3,2015
Alcatel,Android,17.78,0.3,2015
Alcatel,Android,17.78,0.3,2015
Alcatel,Android,23.01,2.0,2015
Alcatel,Android,12.7,2.0,2015
Alcatel,Android,10.29,0.3,2015
Alcatel,Android,10.16,0.3,2015
Alcatel,Others,7.75,0.3,2015
Alcatel,Android,10.16,0.3,2014
Alcatel,Android,7.75,0.3,2014
Alcatel,Android,12.7,0.3,2014
Alcatel,Others,7.75,0.3,2014
Alcatel,Android,10.29,0.3,2014
Alcatel,Android,10.29,0.3,2014
Alcatel,Android,12.7,0.3,2014
Alcatel,Android,10.16,0.3,2014
Alcatel,Android,20.32,3.0,2014
Alcatel,Android,20.32,2.0,2014
Alcatel,Android,15.24,5.0,2014
Alcatel,Android,7.75,0.3,2014
Alcatel,Android,10.29,0.3,2014
Alcatel,Android,10.16,0.3,2014
Alcatel,Others,5.28,0.3,2014
Alcatel,Others,5.18,0.3,2014
Alcatel,Others,5.18,0.3,2014
Alcatel,Others,5.18,0.3,2014
Alcatel,Android,12.93,2.0,2014
Alcatel,Android,12.7,0.3,2014
Alcatel,Android,10.16,0.3,2014
Alcatel,Others,17.78,0.3,2014
Alcatel,Others,10.29,0.3,2014
Alcatel,Others,7.75,0.3,2014
Alcatel,Android,12.7,1.3,2014
Alcatel,Android,12.7,2.0,2014
Alcatel,Android,10.29,2.0,2014
Alcatel,Android,10.29,0.3,2014
Alcatel,Others,5.18,0.3,2013
Alcatel,Android,12.7,2.0,2014
Alcatel,Android,12.83,2.0,2014
Alcatel,Android,10.29,0.3,2013
Alcatel,Android,10.16,0.3,2013
Alcatel,Android,12.7,0.3,2013
Alcatel,Android,10.29,0.3,2013
Alcatel,Android,10.16,0.3,2013
Alcatel,Android,7.75,0.3,2013
Alcatel,Android,10.34,1.3,2013
Alcatel,Android,15.24,2.0,2013
Alcatel,Android,10.34,1.3,2013
Alcatel,Android,10.24,0.3,2013
Alcatel,Android,7.75,0.3,2013
Alcatel,Android,12.7,2.1,2013
Alcatel,Others,7.75,0.3,2013
Alcatel,Android,10.16,0.3,2013
Alcatel,Android,12.7,0.3,2013
Alcatel,Android,11.81,1.3,2013
Alcatel,Android,11.84,2.0,2013
Alcatel,Android,7.75,0.3,2013
Alcatel,Android,7.75,0.3,2013
Alcatel,Android,10.16,0.3,2013
Alcatel,Android,10.29,0.3,2013
Alcatel,Android,12.7,1.3,2013
Alcatel,Android,12.7,1.0,2013
Alcatel,Android,12.7,0.3,2013
Others,Android,15.29,8.0,2018
Others,Android,15.29,16.0,2018
Others,Android,15.24,13.0,2017
Others,Android,12.83,13.0,2018
Others,Android,12.7,8.0,2017
Others,Android,12.83,13.0,2017
Others,Android,12.83,8.0,2016
Others,Android,15.24,5.0,2016
Others,Android,12.83,5.0,2016
Others,Android,12.7,5.0,2015
Others,Android,12.7,5.0,2015
Others,Android,12.7,5.0,2015
Others,Android,12.83,5.0,2015
Others,Android,12.83,5.0,2015
Others,Android,10.34,5.0,2015
Others,Android,12.7,2.0,2015
Others,Android,12.7,5.0,2016
Others,Android,10.29,0.3,2016
Others,Android,12.7,5.0,2015
Others,Android,12.83,5.0,2015
Others,Android,10.29,2.0,2015
Others,Android,12.7,5.0,2015
Others,Android,10.29,2.0,2015
Others,Android,15.24,8.0,2015
Others,Android,10.16,0.3,2014
Others,Android,10.29,0.3,2014
Others,Android,10.16,0.3,2014
Others,Android,12.7,2.0,2014
Others,Android,12.83,2.0,2014
Others,Android,10.34,4.0,2014
Others,Android,10.36,5.0,2014
Others,Windows,10.16,0.3,2014
Others,Windows,12.7,2.0,2014
Others,Windows,10.34,2.0,2014
Others,Android,10.16,0.3,2014
Others,Android,12.7,5.0,2014
Others,Android,10.34,2.0,2014
Others,Android,12.83,8.0,2014
Others,Android,12.7,5.0,2014
Others,Android,17.78,0.3,2013
Others,Android,23.04,0.3,2013
Others,Android,17.78,0.3,2013
Others,Android,20.32,0.3,2013
Others,Android,17.78,0.3,2013
Others,Android,18.01,2.0,2013
Others,Android,18.01,0.3,2013
Others,Others,5.18,2.0,2014
Others,Android,11.81,1.0,2014
Others,Android,10.24,0.3,2014
Others,Android,11.76,0.3,2013
Others,Android,10.29,2.0,2013
Others,Android,12.7,5.0,2013
Others,Android,7.75,0.3,2013
Others,Android,10.16,0.3,2013
Others,Android,10.29,0.3,2013
Others,Android,10.34,2.0,2014
Others,Android,10.34,2.0,2013
Others,Android,12.78,1.0,2013
Others,Others,5.28,0.3,2013
Others,Android,7.75,0.3,2013
Others,Android,10.29,1.0,2013
Others,Android,25.43,0.3,2017
Others,Android,20.32,0.3,2017
Others,Android,17.78,0.3,2017
Others,Android,17.78,0.3,2015
Others,Android,17.78,0.3,2014
Others,Android,15.24,0.3,2014
Others,Others,10.34,2.1,2014
Others,Android,17.78,0.3,2013
Others,Android,17.78,0.3,2013
Apple,iOS,25.53,7.0,2019
Apple,iOS,18.01,7.0,2019
Apple,iOS,30.71,7.0,2018
Apple,iOS,27.94,7.0,2018
Apple,iOS,15.37,7.0,2018
Apple,iOS,12.9,7.0,2018
Apple,iOS,15.27,7.0,2018
Apple,iOS,23.04,1.2,2018
Apple,iOS,12.9,7.0,2017
Apple,iOS,12.83,7.0,2017
Apple,iOS,10.34,7.0,2017
Apple,iOS,30.71,7.0,2017
Apple,iOS,25.53,7.0,2017
Apple,iOS,23.04,1.2,2017
Apple,iOS,12.83,7.0,2016
Apple,iOS,10.34,7.0,2016
Apple,iOS,23.04,5.0,2016
Apple,iOS,10.16,1.2,2016
Apple,iOS,12.83,5.0,2015
Apple,iOS,10.34,5.0,2015
Apple,iOS,30.71,1.2,2015
Apple,iOS,18.01,1.2,2015
Apple,iOS,23.04,1.2,2014
Apple,iOS,18.01,1.2,2014
Apple,iOS,12.83,1.2,2014
Apple,iOS,10.34,1.2,2014
Apple,iOS,23.04,1.2,2013
Apple,iOS,18.01,1.2,2013
Apple,iOS,10.16,1.2,2013
Apple,iOS,10.16,1.2,2013
Others,Android,16.23,16.0,2019
Others,Android,17.4,5.0,2019
Others,Android,15.9,5.0,2019
Others,Android,14.5,5.0,2019
Others,Android,12.7,2.0,2018
Others,Android,14.55,5.0,2017
Others,Android,12.75,16.0,2017
Others,Android,25.43,5.0,2017
Others,Android,12.75,16.0,2017
Others,Android,12.75,5.0,2017
Others,Android,12.83,5.0,2017
Others,Android,12.7,3.0,2017
Others,Android,12.83,5.0,2017
Others,Android,12.7,5.0,2017
Others,Android,12.83,8.0,2016
Others,Android,12.7,5.0,2015
Others,Android,12.7,2.0,2014
Others,Android,12.7,8.0,2014
Others,Windows,10.16,2.0,2014
Others,Android,20.32,2.0,2014
Others,Android,15.34,2.0,2014
Others,Android,12.7,2.0,2014
Others,Android,10.16,0.3,2014
Others,Android,12.7,2.0,2014
Others,Android,10.29,0.3,2014
Asus,Android,15.9,8.0,2019
Asus,Android,15.9,8.0,2019
Asus,Android,13.84,8.0,2018
Asus,Android,13.84,5.0,2018
Asus,Android,15.24,8.0,2018
Asus,Android,12.83,5.0,2018
Asus,Android,15.21,8.0,2018
Asus,Android,15.29,8.0,2018
Asus,Android,15.29,8.0,2018
Asus,Android,15.24,8.0,2018
Asus,Android,12.83,8.0,2018
Asus,Android,12.88,8.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,12.83,13.0,2017
Asus,Android,12.83,13.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,12.75,8.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,12.83,16.0,2017
Asus,Android,12.83,8.0,2017
Asus,Android,18.01,5.0,2017
Asus,Android,12.83,5.0,2017
Asus,Android,12.7,5.0,2017
Asus,Android,12.75,8.0,2017
Asus,Android,23.04,5.0,2017
Asus,Android,12.88,8.0,2017
Asus,Android,12.83,13.0,2017
Asus,Android,15.47,2.0,2016
Asus,Android,18.01,2.0,2016
Asus,Android,12.7,5.0,2016
Asus,Android,12.83,8.0,2016
Asus,Android,12.83,8.0,2016
Asus,Android,23.04,5.0,2016
Asus,Android,23.04,5.0,2016
Asus,Android,12.75,5.0,2016
Asus,Android,12.83,8.0,2016
Asus,Android,12.75,8.0,2016
Asus,Android,12.75,5.0,2016
Asus,Android,15.44,8.0,2016
Asus,Android,12.88,8.0,2016
Asus,Android,12.83,8.0,2016
Asus,Android,12.83,5.0,2016
Asus,Android,10.29,2.0,2016
Asus,Android,10.29,0.3,2016
Asus,Android,12.83,5.0,2016
Asus,Android,12.7,5.0,2016
Asus,Android,10.29,0.3,2015
Asus,Android,12.7,2.0,2016
Asus,Android,12.83,5.0,2015
Asus,Android,12.83,5.0,2015
Asus,Android,25.43,2.0,2015
Asus,Android,12.7,2.0,2015
Asus,Android,12.83,5.0,2015
