,screen_size,4g,internal_memory_binned,front_camera_mp_binned,release_year_binned,days_used,used_price,new_price
91,10.16,no,Less_memory,Low_resolution,Before_2015,1016,Less_than_30k,Less_than_40k
92,7.75,no,Less_memory,Low_resolution,Before_2015,956,Less_than_30k,Less_than_40k
96,16.56,yes,Moderate_memory,High_resolution,After_2015,310,Around_40k,Around_50k
97,13.84,yes,Less_memory,High_resolution,After_2015,193,Less_than_30k,Less_than_40k
98,13.84,yes,Less_memory,High_resolution,After_2015,356,Around_40k,Less_than_40k
100,17.3,yes,Moderate_memory,High_resolution,After_2015,284,More_than_50k,More_than_60k
102,15.34,yes,More_memory,High_resolution,After_2015,397,More_than_50k,More_than_60k
103,15.37,yes,More_memory,High_resolution,After_2015,411,Around_40k,Around_50k
104,15.34,yes,More_memory,High_resolution,After_2015,276,More_than_50k,More_than_60k
105,15.34,yes,More_memory,High_resolution,After_2015,205,More_than_50k,More_than_60k
106,16.59,yes,More_memory,High_resolution,After_2015,321,Around_40k,Around_50k
107,15.39,yes,More_memory,High_resolution,After_2015,392,More_than_50k,More_than_60k
108,15.27,yes,Moderate_memory,High_resolution,After_2015,296,Around_40k,Less_than_40k
109,15.29,yes,Moderate_memory,High_resolution,After_2015,664,Around_40k,Around_50k
110,10.29,yes,Less_memory,High_resolution,Before_2015,1076,Around_40k,Around_50k
111,16.43,yes,More_memory,High_resolution,After_2015,317,More_than_50k,More_than_60k
112,20.32,yes,Less_memory,Low_resolution,Before_2015,909,Around_40k,Around_50k
113,15.34,yes,More_memory,High_resolution,After_2015,135,More_than_50k,More_than_60k
114,12.93,yes,Moderate_memory,High_resolution,After_2015,523,Around_40k,Around_50k
115,16.59,yes,More_memory,High_resolution,After_2015,234,More_than_50k,More_than_60k
116,16.59,yes,More_memory,High_resolution,After_2015,414,More_than_50k,More_than_60k
117,17.78,yes,Moderate_memory,High_resolution,After_2015,135,Around_40k,Around_50k
118,15.39,yes,Moderate_memory,High_resolution,After_2015,153,Around_40k,Around_50k
119,15.39,yes,More_memory,High_resolution,After_2015,125,More_than_50k,Around_50k
120,12.83,yes,Less_memory,High_resolution,After_2015,123,Less_than_30k,Less_than_40k
121,12.7,yes,Moderate_memory,High_resolution,After_2015,220,Less_than_30k,Less_than_40k
122,12.7,yes,Less_memory,High_resolution,After_2015,173,Around_40k,Less_than_40k
123,15.42,yes,More_memory,High_resolution,After_2015,413,More_than_50k,More_than_60k
124,16.36,yes,More_memory,High_resolution,After_2015,279,More_than_50k,More_than_60k
125,16.21,yes,More_memory,High_resolution,After_2015,212,More_than_50k,More_than_60k
126,16.59,yes,More_memory,High_resolution,After_2015,188,More_than_50k,Around_50k
127,16.21,yes,More_memory,High_resolution,After_2015,264,More_than_50k,More_than_60k
128,16.13,yes,Moderate_memory,High_resolution,After_2015,230,Around_40k,Around_50k
129,16.21,yes,Moderate_memory,High_resolution,After_2015,259,Around_40k,Around_50k
130,16.13,yes,Moderate_memory,High_resolution,After_2015,349,Around_40k,Around_50k
131,16.13,yes,More_memory,High_resolution,After_2015,500,More_than_50k,Around_50k
132,17.5,yes,More_memory,High_resolution,After_2015,288,More_than_50k,More_than_60k
133,17.5,yes,More_memory,High_resolution,After_2015,391,More_than_50k,More_than_60k
134,16.28,yes,More_memory,High_resolution,After_2015,204,More_than_50k,More_than_60k
135,16.28,yes,More_memory,High_resolution,After_2015,293,More_than_50k,More_than_60k
136,15.8,yes,Less_memory,High_resolution,After_2015,456,Less_than_30k,Less_than_40k
137,16.21,yes,More_memory,High_resolution,After_2015,224,More_than_50k,More_than_60k
138,16.21,yes,Moderate_memory,High_resolution,After_2015,451,More_than_50k,Around_50k
139,16.59,yes,Moderate_memory,High_resolution,After_2015,338,More_than_50k,Around_50k
140,16.23,yes,More_memory,High_resolution,After_2015,455,More_than_50k,More_than_60k
141,15.9,yes,Moderate_memory,High_resolution,After_2015,431,Around_40k,Around_50k
142,16.13,yes,More_memory,High_resolution,After_2015,334,More_than_50k,Around_50k
143,16.59,yes,More_memory,High_resolution,After_2015,415,More_than_50k,Around_50k
144,15.8,yes,Less_memory,High_resolution,After_2015,266,Around_40k,Less_than_40k
146,12.93,yes,Moderate_memory,High_resolution,After_2015,407,Around_40k,Around_50k
147,14.4,yes,Less_memory,High_resolution,After_2015,233,Around_40k,Around_50k
148,15.21,yes,Less_memory,High_resolution,After_2015,423,Around_40k,Less_than_40k
149,15.32,yes,More_memory,High_resolution,After_2015,470,More_than_50k,Around_50k
150,15.9,yes,Moderate_memory,High_resolution,After_2015,280,Around_40k,Around_50k
152,16.23,yes,More_memory,High_resolution,After_2015,382,More_than_50k,More_than_60k
153,16.23,yes,More_memory,High_resolution,After_2015,374,More_than_50k,More_than_60k
154,15.27,yes,Moderate_memory,High_resolution,After_2015,396,More_than_50k,Around_50k
155,16.23,yes,Moderate_memory,High_resolution,After_2015,406,More_than_50k,Around_50k
156,15.32,yes,Moderate_memory,High_resolution,After_2015,338,Around_40k,Around_50k
157,15.24,yes,Moderate_memory,High_resolution,After_2015,386,Around_40k,Less_than_40k
158,15.47,yes,Moderate_memory,High_resolution,After_2015,325,Around_40k,Less_than_40k
159,15.32,yes,Moderate_memory,High_resolution,After_2015,347,Around_40k,Around_50k
160,16.48,yes,More_memory,High_resolution,After_2015,343,Around_40k,Around_50k
161,16.89,yes,More_memory,High_resolution,After_2015,336,More_than_50k,More_than_60k
162,16.31,yes,More_memory,High_resolution,After_2015,330,More_than_50k,More_than_60k
163,13.84,yes,Less_memory,High_resolution,After_2015,474,Around_40k,Less_than_40k
164,12.7,yes,Less_memory,High_resolution,After_2015,349,Less_than_30k,Less_than_40k
165,12.7,no,Less_memory,High_resolution,After_2015,385,Less_than_30k,Less_than_40k
166,16.89,yes,Moderate_memory,High_resolution,After_2015,506,More_than_50k,More_than_60k
167,16.43,yes,More_memory,High_resolution,After_2015,333,More_than_50k,More_than_60k
168,13.84,yes,Less_memory,High_resolution,After_2015,595,Around_40k,Around_50k
169,15.27,yes,Moderate_memory,High_resolution,After_2015,420,Around_40k,Less_than_40k
170,14.5,yes,Moderate_memory,High_resolution,After_2015,138,Around_40k,Less_than_40k
171,17.3,yes,More_memory,High_resolution,After_2015,268,More_than_50k,Around_50k
172,16.69,yes,More_memory,High_resolution,After_2015,195,More_than_50k,More_than_60k
173,25.5,yes,Moderate_memory,High_resolution,After_2015,272,More_than_50k,More_than_60k
174,15.32,yes,Moderate_memory,High_resolution,After_2015,346,Around_40k,Around_50k
175,16.23,yes,Moderate_memory,High_resolution,After_2015,362,Around_40k,Around_50k
176,13.84,yes,Moderate_memory,High_resolution,After_2015,355,Less_than_30k,Less_than_40k
177,15.77,yes,Moderate_memory,High_resolution,After_2015,202,More_than_50k,Around_50k
178,15.32,yes,More_memory,High_resolution,After_2015,310,More_than_50k,Around_50k
179,16.23,yes,More_memory,High_resolution,After_2015,141,More_than_50k,Around_50k
180,15.47,yes,Moderate_memory,High_resolution,After_2015,228,Around_40k,Less_than_40k
181,15.32,yes,Moderate_memory,High_resolution,After_2015,213,Around_40k,Around_50k
182,16.69,yes,More_memory,High_resolution,After_2015,504,More_than_50k,More_than_60k
183,15.32,yes,Moderate_memory,High_resolution,After_2015,371,More_than_50k,Around_50k
184,14.5,yes,Moderate_memory,High_resolution,After_2015,201,Around_40k,Less_than_40k
185,16.23,yes,Moderate_memory,High_resolution,After_2015,354,Around_40k,Around_50k
186,15.9,yes,More_memory,High_resolution,After_2015,311,More_than_50k,Around_50k
187,16.74,yes,Moderate_memory,High_resolution,After_2015,524,Around_40k,Around_50k
188,14.5,yes,Moderate_memory,High_resolution,After_2015,388,Around_40k,Around_50k
189,25.43,yes,Moderate_memory,Low_resolution,After_2015,234,Around_40k,Around_50k
190,20.32,yes,Moderate_memory,High_resolution,After_2015,251,Around_40k,Around_50k
192,15.29,yes,Moderate_memory,High_resolution,After_2015,194,More_than_50k,Around_50k
193,12.88,yes,Moderate_memory,High_resolution,After_2015,385,More_than_50k,Around_50k
194,15.29,yes,Moderate_memory,High_resolution,After_2015,323,Around_40k,Around_50k
195,15.24,yes,More_memory,High_resolution,After_2015,489,Around_40k,More_than_60k
196,15.29,yes,Moderate_memory,High_resolution,After_2015,392,More_than_50k,More_than_60k
197,15.37,yes,More_memory,High_resolution,After_2015,204,More_than_50k,Around_50k
198,15.37,yes,Moderate_memory,High_resolution,After_2015,328,More_than_50k,Around_50k
199,15.32,yes,More_memory,High_resolution,After_2015,134,More_than_50k,Around_50k
200,15.32,yes,More_memory,High_resolution,After_2015,127,More_than_50k,Around_50k
201,20.32,yes,Less_memory,Low_resolution,After_2015,240,Around_40k,Less_than_40k
202,15.37,yes,More_memory,High_resolution,After_2015,102,More_than_50k,More_than_60k
203,25.5,yes,Moderate_memory,High_resolution,After_2015,305,More_than_50k,Around_50k
204,16.71,yes,More_memory,High_resolution,After_2015,215,More_than_50k,More_than_60k
205,16.23,yes,Moderate_memory,High_resolution,After_2015,133,Around_40k,Around_50k
206,25.6,yes,More_memory,High_resolution,After_2015,181,More_than_50k,More_than_60k
207,16.23,yes,Moderate_memory,High_resolution,After_2015,202,Around_40k,Around_50k
208,16.74,yes,More_memory,High_resolution,After_2015,433,More_than_50k,More_than_60k
209,15.34,yes,More_memory,High_resolution,After_2015,505,More_than_50k,More_than_60k
210,25.6,yes,More_memory,High_resolution,After_2015,406,More_than_50k,More_than_60k
211,15.9,yes,Moderate_memory,High_resolution,After_2015,351,More_than_50k,Around_50k
212,15.32,yes,Moderate_memory,High_resolution,After_2015,364,More_than_50k,Around_50k
213,16.23,yes,Moderate_memory,High_resolution,After_2015,253,Around_40k,Around_50k
214,16.59,yes,More_memory,High_resolution,After_2015,488,More_than_50k,More_than_60k
215,16.81,yes,More_memory,High_resolution,After_2015,269,More_than_50k,More_than_60k
216,16.81,yes,More_memory,High_resolution,After_2015,207,More_than_50k,More_than_60k
217,15.9,yes,More_memory,High_resolution,After_2015,223,More_than_50k,More_than_60k
218,16.74,yes,More_memory,High_resolution,After_2015,181,More_than_50k,Around_50k
219,25.6,yes,Moderate_memory,High_resolution,After_2015,518,More_than_50k,More_than_60k
220,20.42,yes,More_memory,High_resolution,After_2015,307,More_than_50k,More_than_60k
221,20.42,yes,Moderate_memory,High_resolution,After_2015,274,More_than_50k,Around_50k
222,16.23,yes,More_memory,High_resolution,After_2015,520,More_than_50k,More_than_60k
223,16.23,yes,More_memory,High_resolution,After_2015,210,More_than_50k,More_than_60k
224,15.34,yes,More_memory,High_resolution,After_2015,539,More_than_50k,Around_50k
225,15.34,yes,Moderate_memory,High_resolution,After_2015,244,More_than_50k,More_than_60k
226,16.74,yes,Moderate_memory,High_resolution,After_2015,330,More_than_50k,More_than_60k
227,10.16,no,Less_memory,Low_resolution,Before_2015,610,Less_than_30k,Less_than_40k
229,12.7,no,Less_memory,Low_resolution,After_2015,704,Less_than_30k,Less_than_40k
230,25.43,yes,Moderate_memory,High_resolution,After_2015,212,Around_40k,Around_50k
231,25.43,no,Moderate_memory,High_resolution,After_2015,429,More_than_50k,More_than_60k
232,15.47,yes,Less_memory,High_resolution,After_2015,531,Around_40k,Less_than_40k
233,20.32,yes,Less_memory,High_resolution,After_2015,233,Around_40k,Around_50k
234,20.32,yes,Less_memory,Low_resolution,After_2015,349,Around_40k,Around_50k
235,17.78,yes,Moderate_memory,Low_resolution,After_2015,524,Less_than_30k,Less_than_40k
236,16.23,yes,Moderate_memory,High_resolution,After_2015,426,Around_40k,Around_50k
237,16.23,yes,More_memory,High_resolution,After_2015,401,More_than_50k,More_than_60k
238,15.32,yes,Moderate_memory,High_resolution,After_2015,424,Around_40k,Around_50k
239,25.43,yes,Less_memory,High_resolution,After_2015,902,More_than_50k,Around_50k
240,16.59,yes,Moderate_memory,High_resolution,After_2015,195,More_than_50k,Around_50k
241,15.44,yes,Moderate_memory,High_resolution,After_2015,126,More_than_50k,Around_50k
242,5.28,yes,Less_memory,High_resolution,After_2015,202,Less_than_30k,Around_50k
243,15.44,yes,More_memory,High_resolution,After_2015,234,More_than_50k,More_than_60k
244,15.44,yes,More_memory,High_resolution,After_2015,248,Around_40k,More_than_60k
245,15.37,yes,Moderate_memory,High_resolution,After_2015,205,Around_40k,Around_50k
246,14.5,yes,Moderate_memory,High_resolution,After_2015,196,Around_40k,Around_50k
247,25.43,yes,Moderate_memory,High_resolution,After_2015,392,More_than_50k,More_than_60k
248,15.34,yes,More_memory,High_resolution,After_2015,471,More_than_50k,More_than_60k
249,15.34,yes,Moderate_memory,High_resolution,After_2015,517,More_than_50k,More_than_60k
250,13.84,yes,Less_memory,High_resolution,After_2015,438,Around_40k,Around_50k
251,13.84,yes,Less_memory,High_resolution,After_2015,393,Around_40k,Less_than_40k
252,15.27,yes,Moderate_memory,High_resolution,After_2015,273,Around_40k,Around_50k
253,15.37,yes,Moderate_memory,High_resolution,After_2015,344,Around_40k,Around_50k
254,15.8,yes,Moderate_memory,High_resolution,After_2015,289,Around_40k,Around_50k
255,15.9,yes,Moderate_memory,High_resolution,After_2015,482,Around_40k,Around_50k
256,15.72,yes,Moderate_memory,High_resolution,After_2015,516,Around_40k,Less_than_40k
257,15.29,yes,Moderate_memory,High_resolution,After_2015,463,Around_40k,Around_50k
258,15.29,yes,Moderate_memory,High_resolution,After_2015,693,More_than_50k,More_than_60k
259,12.83,yes,Less_memory,High_resolution,After_2015,393,Around_40k,Around_50k
260,7.62,no,Less_memory,Low_resolution,Before_2015,965,Less_than_30k,Less_than_40k
261,10.16,no,Less_memory,Low_resolution,Before_2015,900,Less_than_30k,Less_than_40k
262,7.75,no,Less_memory,Low_resolution,Before_2015,757,Less_than_30k,Less_than_40k
266,16.56,yes,Moderate_memory,High_resolution,After_2015,296,Around_40k,Around_50k
267,13.84,yes,Less_memory,High_resolution,After_2015,293,Less_than_30k,Less_than_40k
268,13.84,yes,Less_memory,High_resolution,After_2015,260,Less_than_30k,Less_than_40k
271,17.3,yes,Moderate_memory,High_resolution,After_2015,127,Around_40k,More_than_60k
273,15.34,yes,More_memory,High_resolution,After_2015,330,More_than_50k,More_than_60k
274,15.37,yes,More_memory,High_resolution,After_2015,277,Around_40k,Around_50k
275,15.34,yes,More_memory,High_resolution,After_2015,344,More_than_50k,More_than_60k
276,15.34,yes,More_memory,High_resolution,After_2015,463,More_than_50k,More_than_60k
277,16.59,yes,More_memory,High_resolution,After_2015,336,More_than_50k,Around_50k
278,15.39,yes,More_memory,High_resolution,After_2015,232,More_than_50k,More_than_60k
279,15.27,yes,Moderate_memory,High_resolution,After_2015,282,Around_40k,Less_than_40k
280,15.29,yes,Moderate_memory,High_resolution,After_2015,587,Around_40k,Around_50k
281,10.29,yes,Less_memory,High_resolution,Before_2015,917,Around_40k,Around_50k
282,16.43,yes,More_memory,High_resolution,After_2015,486,Around_40k,More_than_60k
283,12.88,yes,Moderate_memory,High_resolution,After_2015,120,Around_40k,Less_than_40k
284,12.7,yes,Less_memory,High_resolution,After_2015,226,Around_40k,Around_50k
285,15.42,yes,More_memory,High_resolution,After_2015,258,More_than_50k,More_than_60k
286,15.37,yes,More_memory,High_resolution,After_2015,248,More_than_50k,More_than_60k
287,25.5,yes,Moderate_memory,High_resolution,After_2015,310,More_than_50k,More_than_60k
288,15.29,yes,More_memory,High_resolution,After_2015,282,More_than_50k,More_than_60k
289,25.53,yes,More_memory,High_resolution,After_2015,321,More_than_50k,More_than_60k
290,12.73,yes,Moderate_memory,High_resolution,After_2015,320,Around_40k,More_than_60k
291,15.42,yes,More_memory,High_resolution,After_2015,325,More_than_50k,More_than_60k
292,25.43,yes,Moderate_memory,High_resolution,After_2015,430,More_than_50k,More_than_60k
293,15.32,yes,More_memory,High_resolution,After_2015,190,More_than_50k,More_than_60k
294,25.53,yes,More_memory,High_resolution,After_2015,517,More_than_50k,More_than_60k
295,20.32,yes,Moderate_memory,Low_resolution,After_2015,313,Less_than_30k,Around_50k
296,12.7,yes,Moderate_memory,High_resolution,After_2015,222,Around_40k,Around_50k
297,20.32,yes,Less_memory,Low_resolution,Before_2015,852,Around_40k,Around_50k
298,16.59,yes,Moderate_memory,High_resolution,After_2015,168,Around_40k,Around_50k
299,15.77,yes,Moderate_memory,High_resolution,After_2015,299,Around_40k,Around_50k
300,20.32,no,Less_memory,Low_resolution,After_2015,290,Around_40k,Less_than_40k
301,15.44,yes,Moderate_memory,High_resolution,After_2015,243,Less_than_30k,Around_50k
302,17.78,no,Less_memory,Low_resolution,After_2015,513,Less_than_30k,Less_than_40k
303,25.43,no,Less_memory,Low_resolution,After_2015,452,Around_40k,Less_than_40k
304,12.88,yes,Less_memory,High_resolution,After_2015,440,Around_40k,Less_than_40k
305,16.23,yes,Moderate_memory,High_resolution,After_2015,335,More_than_50k,More_than_60k
306,20.32,no,Moderate_memory,Low_resolution,After_2015,221,Around_40k,Less_than_40k
307,20.32,no,Moderate_memory,Low_resolution,After_2015,276,Around_40k,Less_than_40k
309,30.71,yes,More_memory,High_resolution,After_2015,220,More_than_50k,More_than_60k
310,27.94,yes,More_memory,High_resolution,After_2015,248,More_than_50k,More_than_60k
311,25.45,yes,Moderate_memory,Low_resolution,After_2015,313,More_than_50k,More_than_60k
312,27.94,yes,Moderate_memory,High_resolution,After_2015,601,More_than_50k,More_than_60k
313,18.01,yes,Less_memory,Low_resolution,Before_2015,827,Around_40k,More_than_60k
314,15.24,no,Less_memory,Low_resolution,Before_2015,840,Around_40k,Around_50k
315,15.24,no,Less_memory,Low_resolution,Before_2015,1073,Around_40k,Around_50k
316,15.24,no,Moderate_memory,High_resolution,After_2015,513,Around_40k,Less_than_40k
317,12.83,no,Moderate_memory,High_resolution,After_2015,213,Around_40k,Less_than_40k
318,12.7,no,Moderate_memory,High_resolution,After_2015,184,Less_than_30k,Less_than_40k
320,12.83,yes,Moderate_memory,High_resolution,After_2015,214,More_than_50k,More_than_60k
321,14.35,yes,Moderate_memory,High_resolution,After_2015,247,Around_40k,More_than_60k
322,25.43,no,Less_memory,Low_resolution,Before_2015,578,More_than_50k,Around_50k
323,25.43,no,Moderate_memory,Low_resolution,Before_2015,918,Around_40k,Around_50k
324,5.18,yes,Less_memory,High_resolution,After_2015,356,Less_than_30k,Less_than_40k
325,17.78,yes,Less_memory,Low_resolution,After_2015,662,Around_40k,Around_50k
326,20.32,no,Less_memory,Low_resolution,Before_2015,1050,Less_than_30k,Less_than_40k
327,17.78,yes,Less_memory,Low_resolution,Before_2015,1046,Around_40k,Around_50k
328,17.78,no,Less_memory,Low_resolution,Before_2015,770,Less_than_30k,Less_than_40k
329,17.78,no,Less_memory,Low_resolution,Before_2015,759,Less_than_30k,Around_50k
335,16.56,yes,Moderate_memory,High_resolution,After_2015,187,Around_40k,Around_50k
336,12.83,yes,Less_memory,High_resolution,After_2015,473,Less_than_30k,Less_than_40k
337,20.32,yes,Less_memory,Low_resolution,After_2015,726,Around_40k,Around_50k
338,23.04,no,Moderate_memory,Low_resolution,After_2015,699,More_than_50k,More_than_60k
339,17.78,yes,Less_memory,Low_resolution,After_2015,1085,Around_40k,Around_50k
340,12.83,yes,Moderate_memory,High_resolution,After_2015,1079,Around_40k,Around_50k
341,12.7,yes,Moderate_memory,Low_resolution,After_2015,617,Less_than_30k,Around_50k
342,25.43,no,Less_memory,Low_resolution,After_2015,570,Around_40k,Around_50k
343,12.83,yes,Moderate_memory,High_resolution,Before_2015,714,Around_40k,Around_50k
344,12.83,yes,Less_memory,High_resolution,After_2015,549,Around_40k,Around_50k
345,12.7,yes,Moderate_memory,High_resolution,After_2015,893,Around_40k,Less_than_40k
346,20.32,no,Moderate_memory,Low_resolution,Before_2015,767,More_than_50k,More_than_60k
347,12.83,yes,Moderate_memory,High_resolution,Before_2015,824,Around_40k,Around_50k
348,10.29,yes,Moderate_memory,High_resolution,Before_2015,988,Less_than_30k,Less_than_40k
349,10.29,no,Moderate_memory,Low_resolution,Before_2015,961,Less_than_30k,Less_than_40k
350,12.83,yes,Moderate_memory,High_resolution,Before_2015,942,Around_40k,Around_50k
351,12.7,yes,Moderate_memory,High_resolution,Before_2015,874,Around_40k,Around_50k
352,25.43,no,Less_memory,Low_resolution,Before_2015,899,Around_40k,Around_50k
