screen_size,battery,weight,normalized_used_price
15.9,4000.0,182.0,5.334167019
15.9,4000.0,182.0,5.334167019
16.13,5000.0,190.5,4.761831996
16.59,3940.0,189.5,5.116315759
16.59,3940.0,189.5,5.116315759
16.59,4000.0,189.5,5.001123534
16.59,4000.0,189.5,5.001123534
15.8,4030.0,163.5,4.382151627
12.93,3400.0,145.0,4.421487704
14.4,2920.0,160.0,4.523526197
15.21,4000.0,185.0,4.131800899
15.32,4000.0,184.0,4.857950206
15.9,4000.0,178.0,4.33781348
16.23,4000.0,196.0,5.360587692
16.23,4000.0,191.0,5.192289962
15.27,4030.0,173.8,4.792396362
16.23,4030.0,179.0,4.886280713
15.32,4000.0,186.0,4.687395126
15.24,4000.0,160.0,4.272211769
15.47,3200.0,165.0,4.408059812
15.32,3200.0,165.0,4.498697941
16.48,5000.0,190.0,4.57316339
16.89,5000.0,215.0,5.668051665
16.31,4000.0,186.0,5.243913978
13.84,2600.0,157.0,4.297421451
12.7,2000.0,144.0,3.803992261
12.7,2000.0,144.0,3.931433399
16.89,5000.0,215.0,5.263725922
16.43,4000.0,175.0,5.029718709
13.84,3200.0,135.0,4.450152464
15.27,3200.0,146.0,4.339249605
14.5,3020.0,146.0,4.466367783
17.3,4300.0,213.0,5.051905188
16.69,4200.0,213.0,5.018008048
25.5,7250.0,480.0,4.903346996
15.32,5000.0,185.0,4.477791257
16.23,4000.0,176.0,4.466597536
16.23,4000.0,176.0,4.466597536
16.23,3800.0,189.0,4.989002994
16.23,3800.0,189.0,4.989002994
13.84,3020.0,144.0,3.961574784
15.77,3400.0,164.0,4.776093698
15.32,4000.0,165.0,4.803775113
16.23,4000.0,176.0,4.831747834
15.47,3020.0,150.0,4.476199805
15.32,5000.0,185.0,4.609859175
16.69,4100.0,206.0,5.17252736
15.32,4000.0,171.5,4.797194518
14.5,3020.0,146.0,4.220095768
16.23,4000.0,176.0,4.415944853
15.9,3750.0,172.0,5.180209278
16.74,4000.0,206.0,4.679349584
14.5,3020.0,146.0,4.055776969
25.43,5100.0,173.0,4.53999146
20.32,5100.0,173.0,4.294560609
15.29,3850.0,170.0,4.829033478
12.88,3075.0,150.0,4.860277413
15.29,3300.0,160.0,4.388008706
15.24,3930.0,180.0,4.633951987
15.29,3850.0,170.0,5.041552397
15.37,4000.0,192.0,4.865455368
15.37,4000.0,182.0,4.971686544
15.32,4000.0,163.0,5.058980915
15.32,4000.0,163.0,4.980931815
20.32,5100.0,310.0,4.218183299
15.37,4000.0,189.0,4.916690848
25.5,7250.0,450.0,5.097485547
16.71,4200.0,226.0,5.49380191
16.23,4000.0,176.0,4.365643155
25.6,7250.0,460.0,5.359976747
16.23,4000.0,176.0,4.651003602
16.74,4000.0,206.0,5.071354029
15.34,4200.0,183.0,4.99531859
25.6,7250.0,460.0,4.978869391
15.9,4000.0,178.0,5.037147389
15.32,4000.0,163.0,4.949043538
16.23,4000.0,176.0,4.403054002
16.59,4500.0,198.0,5.995954452
16.59,4500.0,198.0,5.995954452
16.59,4000.0,190.0,4.921876937
16.59,4000.0,190.0,4.921876937
16.81,4200.0,196.0,5.530103463
16.81,4200.0,196.0,5.345344072
15.9,4000.0,178.0,5.214772701
16.74,4000.0,163.5,4.894401058
25.6,7500.0,498.0,5.025589586
20.42,6100.0,340.0,4.943212618
20.42,6100.0,320.0,5.017147378
16.23,3500.0,171.0,5.372914505
16.23,3500.0,171.0,5.366396487
15.34,4000.0,178.0,5.180209278
15.34,4000.0,178.0,4.837313121
16.74,4000.0,196.8,4.861671141
10.16,1700.0,136.1,3.959097413
12.7,3000.0,147.6,3.509154523
25.43,7000.0,520.0,4.683426684
25.43,7000.0,580.0,5.053758638
15.47,4000.0,172.0,4.145196092
20.32,5100.0,305.0,4.515245478
20.32,5000.0,305.0,4.390366759
17.78,3590.0,236.0,3.806440243
16.23,4000.0,159.0,4.447228998
16.23,4000.0,185.0,5.347964306
15.32,4050.0,164.0,4.541058241
15.32,4050.0,164.0,4.541058241
15.32,3500.0,169.0,4.966613742
15.32,3500.0,169.0,4.966613742
25.43,8400.0,655.0,4.866995844
16.59,4000.0,196.5,4.739963282
15.44,4000.0,219.0,4.720550337
5.28,1470.0,127.0,3.758405517
15.44,5000.0,218.0,5.412047757
15.44,5000.0,213.0,4.633951987
14.5,3450.0,170.0,4.319752215
14.5,3450.0,170.0,4.319752215
14.5,3000.0,155.0,3.879086505
14.5,3000.0,155.0,3.879086505
25.43,8200.0,498.0,5.021970804
15.34,4000.0,192.0,5.789103535
15.34,4000.0,198.0,4.955756633
13.84,3000.0,148.0,4.367800927
13.84,3000.0,152.0,4.043752776
15.27,3500.0,186.0,4.396299294
15.37,4000.0,194.0,4.707997496
15.8,4050.0,172.0,4.541484634
15.9,4000.0,175.0,4.48661185
15.72,4000.0,164.0,4.105943698
15.29,3500.0,179.0,4.170688129
15.29,3300.0,172.0,4.989411658
12.83,4500.0,171.0,4.539564429
7.62,1540.0,140.45,3.131136911
10.16,1500.0,146.5,3.118834471
10.16,1400.0,136.5,3.756538103
7.75,1500.0,89.0,1.572773928
16.56,4000.0,200.0,4.160756328
13.84,3000.0,180.0,3.690627925
13.84,3000.0,180.0,3.988243031
17.3,4500.0,220.0,4.602667056
15.34,4025.0,181.0,4.900225013
15.37,4230.0,180.0,4.514369822
15.34,3600.0,169.5,5.037212309
15.34,4035.0,186.0,5.093320661
16.59,4020.0,190.0,5.032266314
15.39,4065.0,215.0,5.598384921
15.27,4000.0,170.0,4.022848561
15.29,4230.0,168.0,4.273745191
10.29,2000.0,135.0,4.09700768
16.43,4000.0,171.0,4.701661486
12.88,4000.0,168.0,4.151669629
12.7,2600.0,154.0,4.08142817
15.42,4500.0,185.0,5.514194582
15.37,4500.0,187.0,5.126282718
25.5,7040.0,467.0,5.28755971
15.29,4000.0,168.1,5.678498854
25.53,7040.0,420.0,5.083699865
12.73,4500.0,256.0,4.59036107
15.42,4500.0,187.0,4.955756633
25.43,7600.0,653.0,4.989071116
15.32,3500.0,168.0,4.997685135
25.53,7040.0,420.0,5.438209735
20.32,5100.0,169.0,3.984343667
12.7,2800.0,172.0,4.454579827
20.32,4200.0,338.0,4.7051965
16.59,4000.0,193.0,4.314015424
15.77,4000.0,184.7,4.358246106
20.32,3600.0,330.0,4.053522568
15.44,3500.0,191.6,3.990279503
17.78,2000.0,242.0,2.822568655
25.43,4000.0,505.2,4.538068382
25.43,4000.0,505.2,4.538068382
25.43,7300.0,525.0,4.81866736
25.43,7300.0,525.0,4.81866736
12.88,2700.0,138.0,4.175002465
16.23,3450.0,176.6,4.995657011
20.32,4000.0,355.0,4.42424765
20.32,4000.0,355.0,4.210645018
30.71,9720.0,641.0,5.847392078
27.94,5770.5,471.0,5.691237447
25.45,8827.0,483.0,5.204446151
27.94,7812.0,468.0,5.359835707
18.01,5124.0,299.0,4.562680134
15.24,3230.0,196.0,4.539564429
15.24,3300.0,196.0,4.327966358
15.24,2800.0,185.0,4.304335327
12.83,2200.0,158.0,4.170842533
12.7,3400.0,146.0,3.764218811
10.29,1760.0,136.0,4.05386973
10.29,2100.0,124.0,3.442339325
12.83,4200.0,206.5,4.796864349
14.35,3100.0,210.0,4.476882166
25.43,2700.0,508.0,4.836599317
25.43,2700.0,508.0,4.691072615
5.18,3230.0,90.0,3.247268899
17.78,3240.0,295.1,4.182202803
20.32,3240.0,325.0,3.848230872
17.78,3240.0,279.0,4.46326094
17.78,2840.0,285.0,3.713572067
17.78,3240.0,285.0,3.989354348
16.56,4000.0,178.0,4.297149343
12.83,2460.0,153.2,3.78487122
20.32,4080.0,279.0,4.363862664
23.04,4500.0,544.3,5.066006927
17.78,3400.0,260.0,4.632298853
12.83,4080.0,169.0,4.710160633
12.83,4080.0,169.0,4.710160633
12.83,3300.0,172.0,4.89686918
12.83,3300.0,172.0,4.89686918
12.7,2000.0,126.0,3.781686504
12.7,2000.0,126.0,3.781686504
12.7,2000.0,126.0,3.781686504
12.7,2650.0,120.0,4.08311508
12.7,2650.0,120.0,4.08311508
12.7,2650.0,120.0,4.08311508
12.7,2500.0,159.0,4.296060166
12.7,2500.0,159.0,4.296060166
12.7,2500.0,159.0,4.296060166
25.43,6100.0,147.5,4.337682821
12.83,4020.0,166.0,4.368307963
12.83,4020.0,166.0,4.368307963
12.83,2800.0,153.0,4.543826556
12.83,2800.0,153.0,4.543826556
12.83,5000.0,147.5,4.430935839
12.7,2000.0,125.0,4.070564034
20.32,4420.0,353.8,4.998832582
12.83,2870.0,150.0,4.590969837
10.29,2000.0,142.0,3.781686504
10.29,2000.0,158.0,5.105096629
10.29,2000.0,142.0,3.616577542
10.29,2000.0,142.0,3.616577542
10.29,1850.0,135.0,3.780318514
10.29,1850.0,135.0,3.780318514
12.83,4000.0,165.0,4.556295018
12.7,2420.0,145.0,4.354141431
12.7,2420.0,145.0,4.354141431
12.7,2420.0,145.0,4.354141431
12.7,2500.0,145.0,4.248066579
12.7,2500.0,145.0,4.248066579
12.7,2500.0,145.0,4.248066579
12.7,2230.0,143.0,3.875773873
12.7,2230.0,143.0,3.875773873
12.7,2230.0,143.0,3.875773873
25.43,5910.0,540.0,4.624188192
20.32,4550.0,355.0,4.226687749
12.7,2300.0,110.0,4.488524004
12.7,2300.0,110.0,4.488524004
12.7,2300.0,110.0,4.488524004
12.7,2400.0,140.0,4.450736133
12.7,2400.0,140.0,4.450736133
12.7,2400.0,140.0,4.450736133
12.7,2300.0,128.0,4.138520925
12.7,2300.0,128.0,4.138520925
12.7,2300.0,128.0,4.138520925
12.7,2000.0,118.0,3.721104601
10.16,1300.0,120.0,3.89914038
10.16,1300.0,120.0,3.89914038
10.16,1400.0,120.0,3.583518938
10.16,1400.0,120.0,3.583518938
10.16,1300.0,119.0,3.755369195
10.29,2000.0,145.0,3.642049867
12.7,2300.0,116.0,4.028916757
12.7,2000.0,150.0,4.348728349
12.88,2700.0,164.0,4.342375829
12.7,2100.0,110.0,4.154969184
12.7,3500.0,155.0,4.405010471
12.7,2500.0,155.0,4.49903159
10.16,1300.0,130.0,3.840312158
20.32,4600.0,360.0,4.66334475
17.78,3400.0,298.0,4.094344562
17.78,3400.0,298.0,4.063369758
17.78,3700.0,159.5,4.065945088
10.34,2500.0,134.0,4.294424174
10.16,1630.0,122.0,3.63758616
17.78,2955.0,323.0,4.405254761
17.78,2955.0,315.0,4.040943785
18.01,4000.0,380.0,4.433788569
12.7,2000.0,150.0,3.470723444
10.29,1760.0,130.0,3.757238792
10.29,1830.0,134.0,4.209902903
12.83,3230.0,130.0,3.832763324
12.7,3230.0,148.0,3.997650091
15.29,4000.0,158.0,4.065945088
12.88,3000.0,144.0,4.721885986
15.24,3000.0,155.0,3.952588967
12.83,3000.0,145.0,4.537961436
12.78,3000.0,151.0,4.105119635
15.24,3000.0,169.0,4.428074948
25.43,4000.0,415.0,4.338727617
17.78,2580.0,245.0,4.013857311
12.75,2850.0,147.0,4.560800238
12.75,2800.0,155.0,4.284689402
12.75,2800.0,155.0,4.284689402
12.75,2800.0,155.0,4.284689402
12.75,3000.0,150.0,4.684443367
12.75,3000.0,150.0,4.684443367
12.75,3000.0,150.0,4.684443367
12.75,2800.0,140.0,4.730568595
12.75,2800.0,140.0,4.730568595
12.75,2800.0,140.0,4.730568595
15.24,4000.0,175.0,4.6404408
12.83,4000.0,164.0,4.651767471
12.7,2050.0,159.5,3.934371409
12.75,2800.0,159.5,4.410614092
12.75,2800.0,159.5,4.410614092
12.75,4000.0,165.0,4.270396506
12.75,4000.0,165.0,4.270396506
12.7,2460.0,159.5,4.371218436
15.24,3000.0,159.5,4.543720224
12.7,2460.0,156.0,4.07973841
12.7,2460.0,156.0,4.07973841
12.7,2460.0,156.0,4.07973841
12.7,2700.0,151.0,4.185403293
12.7,2700.0,151.0,4.185403293
12.7,2700.0,151.0,4.185403293
12.7,2300.0,153.0,4.362461479
12.7,2300.0,153.0,4.362461479
12.7,2300.0,153.0,4.362461479
12.83,2500.0,163.9,3.998567607
12.7,2150.0,140.0,4.632396172
12.7,2150.0,140.0,4.632396172
12.7,3000.0,137.0,4.38414938
12.7,3000.0,137.0,4.38414938
12.7,2000.0,148.0,3.013572192
12.7,2000.0,148.0,3.013572192
12.7,2040.0,140.0,4.358374106
12.7,2040.0,140.0,4.358374106
12.83,3000.0,159.95,4.332442405
12.83,2960.0,159.95,4.390118805
12.83,2500.0,159.95,4.026422546
12.7,2500.0,159.95,3.999484281
12.7,2500.0,159.95,3.999484281
12.7,2800.0,138.0,4.419563238
12.7,2800.0,138.0,4.419563238
12.83,3000.0,149.0,4.555664766
12.75,2610.0,135.0,4.351180755
17.78,2580.0,159.95,3.850360345
15.24,2580.0,179.0,4.268717949
15.24,2580.0,159.95,4.35850209
10.16,1500.0,159.95,3.674526948
12.83,2580.0,174.0,4.138999203
12.83,2500.0,173.0,4.129550818
12.83,2500.0,173.0,4.129550818
12.83,3000.0,162.0,4.768139014
12.83,3000.0,162.0,4.768139014
12.7,3000.0,140.0,4.288539792
12.83,3500.0,147.0,4.475744639
12.83,3500.0,147.0,4.475744639
12.83,3500.0,163.0,4.434144589
12.83,3500.0,163.0,4.434144589
10.29,2000.0,144.9,3.955465563
12.83,2910.0,141.0,4.261552481
10.34,2000.0,110.0,4.577593418
12.83,2800.0,142.95,4.135806352
20.32,3240.0,335.0,4.385894146
17.78,2820.0,260.0,4.244917421
17.78,2820.0,260.0,4.097340071
17.78,2820.0,260.0,3.974246349
23.01,4600.0,380.0,4.911404104
12.7,2820.0,142.95,3.961955374
10.29,2820.0,125.0,3.341801172
10.16,2820.0,110.0,3.021887231
7.75,2820.0,98.0,2.863343086
10.16,1400.0,114.0,3.927699485
7.75,1300.0,101.0,3.539508997
12.7,2000.0,149.0,3.586292865
7.75,1000.0,93.0,2.506341931
10.29,2000.0,147.0,3.90499839
10.29,2000.0,147.0,4.160912273
12.7,2000.0,149.1,3.927305629
10.16,1400.0,121.1,3.645449896
20.32,4100.0,327.0,4.596230344
20.32,4060.0,310.0,4.554718642
15.24,3100.0,175.0,4.536248741
7.75,1300.0,100.0,2.779440197
10.29,1800.0,150.0,3.921775297
10.29,2000.0,140.0,4.308245532
10.16,1300.0,116.0,3.385745277
5.28,750.0,98.0,3.314549575
5.18,750.0,95.0,3.601413428
5.18,850.0,77.9,1.617406082
5.18,850.0,85.0,2.335052283
12.93,3400.0,182.0,4.742755849
12.7,3000.0,162.0,4.162781724
10.16,2000.0,130.0,3.56671182
17.78,2000.0,285.0,3.994708372
10.29,1700.0,103.0,3.268808194
7.75,1300.0,100.0,3.02431973
12.7,2150.0,126.0,4.411706789
12.7,2000.0,128.0,3.943134
12.7,2000.0,128.0,3.943134
12.7,2100.0,134.0,4.171614198
12.7,2100.0,134.0,4.171614198
12.7,2000.0,154.5,4.326513925
12.7,2000.0,154.5,4.326513925
10.29,2000.0,116.0,4.222884351
10.29,1700.0,110.0,3.998384171
10.29,2100.0,143.5,3.779405481
12.7,2500.0,125.0,4.004055091
12.83,2500.0,189.0,4.234251422
12.7,1800.0,162.0,3.912422925
12.7,2500.0,160.0,4.166199999
12.7,2500.0,163.0,3.667144962
12.7,2100.0,154.0,3.903990834
10.29,1800.0,139.0,4.123093976
10.29,1830.0,134.0,3.988428337
15.29,4000.0,168.0,4.491441421
15.29,3000.0,210.0,4.930870326
15.24,3050.0,156.0,5.185540529
12.83,3000.0,143.6,4.829273277
12.7,2500.0,145.0,4.050044303
12.7,2500.0,145.0,4.050044303
12.7,3020.0,143.0,4.177459469
12.7,3020.0,143.0,4.177459469
12.83,3000.0,167.5,5.181839728
12.83,3000.0,144.0,4.863758098
12.83,3000.0,144.0,4.863758098
12.83,3160.0,158.6,4.717426868
12.83,3160.0,158.6,4.717426868
15.24,5020.0,209.8,4.617395156
12.83,3150.0,147.6,4.534425781
12.7,2350.0,128.0,4.628984364
12.7,2350.0,128.0,4.323205074
12.7,2400.0,137.0,4.072439727
12.83,3150.0,155.3,4.649952329
12.83,3150.0,155.3,4.649952329
12.83,3150.0,155.3,4.649952329
12.83,3200.0,164.0,4.797607077
12.83,3200.0,164.0,4.797607077
12.83,3200.0,164.0,4.797607077
12.83,3000.0,164.0,4.670208582
12.83,3000.0,164.0,4.670208582
12.83,3000.0,164.0,4.670208582
12.83,3150.0,155.3,4.277915338
10.34,2000.0,143.0,3.860519163
12.7,2000.0,153.0,3.663561646
12.7,4000.0,200.0,4.052654135
12.7,4000.0,200.0,4.052654135
12.7,2150.0,129.0,4.182050143
12.7,2150.0,129.0,4.182050143
10.29,1700.0,118.5,3.529004086
12.7,3140.0,154.0,3.983971505
12.83,6000.0,212.0,4.720550337
12.83,6000.0,212.0,4.720550337
12.83,4100.0,175.0,4.329021349
12.83,4100.0,175.0,4.329021349
10.29,4000.0,156.5,3.716737782
12.7,2100.0,130.0,4.308110952
12.7,2100.0,130.0,4.308110952
12.7,2300.0,140.0,4.50821866
12.7,2300.0,140.0,4.50821866
10.29,1850.0,135.5,4.266756065
15.24,3500.0,204.4,5.053439323
10.16,1400.0,118.5,3.564449376
10.29,1800.0,150.0,3.664074335
10.16,1350.0,119.8,3.268808194
12.7,1920.0,149.7,3.809103951
12.7,1920.0,149.7,3.809103951
12.7,4200.0,115.35,3.689129423
12.7,4200.0,115.35,3.689129423
12.83,2400.0,146.4,3.957760897
12.83,1625.0,176.5,4.595018835
10.34,2200.0,139.2,4.326249619
10.36,2050.0,97.0,3.852485293
10.16,1420.0,110.0,3.276389731
10.16,1500.0,180.0,3.65351131
12.7,2000.0,156.2,3.89324785
10.34,1750.0,98.9,3.971988587
10.16,1500.0,118.7,3.462292481
10.16,1200.0,140.0,2.85819286
12.7,2300.0,129.0,4.421728002
12.7,2300.0,129.0,4.421728002
12.7,2000.0,158.0,4.023922098
12.7,2000.0,158.0,4.023922098
12.7,2200.0,152.0,3.964615456
12.7,2200.0,152.0,3.964615456
10.34,2100.0,143.1,4.414009681
12.83,2500.0,150.5,5.009301071
12.7,2500.0,143.5,4.045504397
17.78,3000.0,282.0,3.880738715
17.78,3500.0,354.4,4.333492688
17.78,3000.0,289.0,4.197953545
17.78,3450.0,269.0,4.263383855
5.18,1000.0,80.0,2.630448955
11.81,2100.0,131.9,4.338988645
10.24,1700.0,153.7,3.568969157
12.7,2000.0,129.4,4.589447226
12.7,2000.0,160.0,4.331259518
10.34,1800.0,143.0,4.34549231
10.34,1800.0,124.9,3.606584211
10.34,2200.0,130.0,3.8823882
25.43,3830.0,500.0,4.672641901
20.32,3210.0,369.0,4.154655409
17.78,2980.0,295.0,4.082777926
17.78,2980.0,313.0,2.888147063
17.78,2100.0,337.0,4.157319361
15.24,2100.0,290.0,3.998751009
10.34,2400.0,160.0,4.216857137
25.53,3969.0,456.0,4.937060513
18.01,5124.0,300.5,4.794632851
30.71,9720.0,631.0,5.808022363
27.94,7812.0,468.0,6.158968531
15.37,3174.0,208.0,5.57059388
12.9,2658.0,177.0,5.583458714
15.27,2942.0,194.0,5.492649836
23.04,5493.0,469.0,4.923478452
12.9,2716.0,174.0,4.522114611
12.83,2691.0,202.0,5.175414999
10.34,1821.0,148.0,5.120684799
30.71,2256.0,677.0,5.759185645
25.53,8134.0,469.0,5.2907891
23.04,8827.0,469.0,4.669458676
12.83,2900.0,188.0,4.750568389
10.34,1960.0,138.0,4.68111219
23.04,7306.0,437.0,5.37347122
10.16,1624.0,113.0,4.437461342
12.83,2750.0,192.0,4.633077139
12.83,2750.0,192.0,4.633077139
12.83,2750.0,192.0,4.633077139
12.83,3000.0,140.0,4.194642284
12.83,3000.0,140.0,4.194642284
12.83,3000.0,140.0,4.194642284
12.83,3000.0,155.0,4.481419379
12.83,3000.0,155.0,4.481419379
12.83,3000.0,155.0,4.481419379
10.34,1715.0,143.0,5.170370352
10.34,2300.0,143.0,3.729301369
30.71,3937.0,713.0,5.558872303
18.01,5124.0,299.0,4.463145686
23.04,7340.0,437.0,4.591983624
18.01,6470.0,331.0,4.37298589
12.83,2915.0,172.0,4.25177557
10.34,1810.0,129.0,3.93064847
16.23,3400.0,166.0,4.573576314
17.4,5000.0,214.0,4.411828126
15.9,3000.0,162.0,4.289637185
14.5,2800.0,150.0,4.332573751
12.7,4000.0,210.0,3.976686519
14.55,3100.0,170.0,4.687303016
12.75,3000.0,155.0,5.257599533
25.43,6600.0,510.0,5.225854195
12.75,2950.0,155.0,5.050881123
12.75,3000.0,130.0,4.11038194
12.75,3000.0,130.0,4.11038194
12.75,3100.0,165.0,4.213312081
12.75,3100.0,165.0,4.213312081
12.83,3000.0,167.5,4.244056835
12.83,3000.0,167.5,4.244056835
12.83,3260.0,177.0,5.124618527
12.83,3260.0,177.0,5.124618527
12.7,3500.0,223.0,4.42604352
12.7,3500.0,223.0,4.42604352
12.7,2400.0,146.0,3.989909544
12.7,2400.0,146.0,3.989909544
12.83,3000.0,167.5,4.616209033
12.83,3000.0,167.5,4.616209033
12.83,2200.0,167.0,4.12049952
12.83,2200.0,167.0,4.12049952
12.7,2400.0,160.0,4.322409318
12.83,2950.0,193.0,4.824225391
12.7,2100.0,154.0,4.231784971
12.7,2000.0,160.0,4.306494572
12.7,2000.0,160.0,4.306494572
12.7,2050.0,150.0,4.446291681
12.7,2050.0,150.0,4.446291681
12.7,2700.0,142.0,4.322939892
10.16,1700.0,150.0,3.658162481
20.32,3500.0,150.0,4.333623895
15.34,2800.0,232.0,4.424487286
12.7,2000.0,140.0,4.029094677
10.16,1400.0,115.0,3.336125385
12.7,2000.0,160.0,4.476086033
10.29,1850.0,140.0,3.824065727
13.84,4000.0,150.0,4.383151002
13.84,3000.0,140.0,4.203497876
15.24,4000.0,200.0,4.614724399
15.21,5000.0,180.0,4.399129543
15.21,5000.0,180.0,4.399129543
15.21,4000.0,181.0,4.795294555
15.21,4000.0,181.0,4.795294555
